"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0018","KS102EW0019","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E00004782",253,19,4,4,21,5,4,5,9,9,44,66,10,8,27,14,4,43.2094861660079,45,7.5098814229249,1.58102766798419,1.58102766798419,8.300395256917,1.97628458498024,1.58102766798419,1.97628458498024,3.55731225296443,3.55731225296443,17.3913043478261,26.0869565217391,3.95256916996047,3.16205533596838,10.6719367588933,5.53359683794466,1.58102766798419
"E00004783",311,30,15,7,14,5,6,4,18,22,77,54,12,24,14,7,2,36.91961414791,35,9.64630225080386,4.82315112540193,2.2508038585209,4.5016077170418,1.60771704180064,1.92926045016077,1.28617363344051,5.78778135048232,7.07395498392283,24.7588424437299,17.3633440514469,3.85852090032154,7.71704180064309,4.5016077170418,2.2508038585209,0.643086816720257
"E00004784",264,12,8,5,19,6,8,4,12,13,48,56,17,29,20,2,5,42.6174242424242,44,4.54545454545455,3.03030303030303,1.89393939393939,7.1969696969697,2.27272727272727,3.03030303030303,1.51515151515152,4.54545454545455,4.92424242424242,18.1818181818182,21.2121212121212,6.43939393939394,10.9848484848485,7.57575757575758,0.757575757575758,1.89393939393939
"E00004785",288,20,8,5,21,6,14,3,18,36,60,43,15,18,8,7,6,36.2083333333333,32,6.94444444444444,2.77777777777778,1.73611111111111,7.29166666666667,2.08333333333333,4.86111111111111,1.04166666666667,6.25,12.5,20.8333333333333,14.9305555555556,5.20833333333333,6.25,2.77777777777778,2.43055555555556,2.08333333333333
"E00004786",194,5,1,2,1,0,1,1,24,31,56,17,14,16,20,2,3,42.9484536082474,36,2.57731958762887,0.515463917525773,1.03092783505155,0.515463917525773,0,0.515463917525773,0.515463917525773,12.3711340206186,15.979381443299,28.8659793814433,8.76288659793814,7.21649484536082,8.24742268041237,10.3092783505155,1.03092783505155,1.54639175257732
"E00004787",281,12,3,5,8,5,0,3,14,53,93,48,12,14,9,2,0,37.1423487544484,33,4.27046263345196,1.06761565836299,1.77935943060498,2.84697508896797,1.77935943060498,0,1.06761565836299,4.98220640569395,18.8612099644128,33.0960854092527,17.0818505338078,4.27046263345196,4.98220640569395,3.20284697508897,0.711743772241993,0
"E00004788",249,18,7,2,8,1,0,1,22,56,83,28,3,8,8,2,2,33.2971887550201,30,7.2289156626506,2.81124497991968,0.803212851405622,3.21285140562249,0.401606425702811,0,0.401606425702811,8.83534136546185,22.4899598393574,33.3333333333333,11.2449799196787,1.20481927710843,3.21285140562249,3.21285140562249,0.803212851405622,0.803212851405622
"E00004789",234,40,15,8,21,2,3,5,19,22,83,11,2,3,0,0,0,23.5299145299145,25,17.0940170940171,6.41025641025641,3.41880341880342,8.97435897435897,0.854700854700855,1.28205128205128,2.13675213675214,8.11965811965812,9.4017094017094,35.4700854700855,4.7008547008547,0.854700854700855,1.28205128205128,0,0,0
"E00004790",245,9,4,3,11,1,2,4,13,31,92,45,13,10,6,1,0,36.9142857142857,34,3.6734693877551,1.63265306122449,1.22448979591837,4.48979591836735,0.408163265306122,0.816326530612245,1.63265306122449,5.30612244897959,12.6530612244898,37.5510204081633,18.3673469387755,5.30612244897959,4.08163265306122,2.44897959183673,0.408163265306122,0
"E00004791",238,9,5,6,9,5,3,5,11,32,72,38,14,17,9,1,2,38.2268907563025,35,3.78151260504202,2.10084033613445,2.52100840336134,3.78151260504202,2.10084033613445,1.26050420168067,2.10084033613445,4.6218487394958,13.4453781512605,30.2521008403361,15.9663865546218,5.88235294117647,7.14285714285714,3.78151260504202,0.420168067226891,0.840336134453782
"E00004792",267,14,12,2,13,3,2,2,17,27,92,54,11,8,4,3,3,36.3071161048689,35,5.2434456928839,4.49438202247191,0.749063670411985,4.8689138576779,1.12359550561798,0.749063670411985,0.749063670411985,6.36704119850187,10.1123595505618,34.4569288389513,20.2247191011236,4.11985018726592,2.99625468164794,1.49812734082397,1.12359550561798,1.12359550561798
"E00004793",252,26,12,6,7,3,2,0,5,16,87,46,2,13,17,8,2,38.0079365079365,36.5,10.3174603174603,4.76190476190476,2.38095238095238,2.77777777777778,1.19047619047619,0.793650793650794,0,1.98412698412698,6.34920634920635,34.5238095238095,18.2539682539683,0.793650793650794,5.15873015873016,6.74603174603175,3.17460317460317,0.793650793650794
"E00004794",521,38,19,18,48,8,14,10,32,34,99,102,28,36,21,11,3,36.7044145873321,36,7.2936660268714,3.6468330134357,3.45489443378119,9.21305182341651,1.53550863723608,2.68714011516315,1.91938579654511,6.14203454894434,6.52591170825336,19.0019193857965,19.5777351247601,5.3742802303263,6.90978886756238,4.03071017274472,2.11132437619962,0.575815738963532
"E00004795",251,20,12,3,8,0,4,4,10,25,89,43,16,9,3,3,2,35.8525896414343,35,7.96812749003984,4.7808764940239,1.19521912350598,3.18725099601594,0,1.59362549800797,1.59362549800797,3.98406374501992,9.9601593625498,35.4581673306773,17.1314741035857,6.37450199203187,3.58565737051793,1.19521912350598,1.19521912350598,0.796812749003984
"E00004796",263,15,4,2,4,0,2,1,17,53,102,34,7,11,8,2,1,35.8897338403042,32,5.70342205323194,1.52091254752852,0.760456273764259,1.52091254752852,0,0.760456273764259,0.380228136882129,6.4638783269962,20.1520912547529,38.7832699619772,12.9277566539924,2.6615969581749,4.18250950570342,3.04182509505703,0.760456273764259,0.380228136882129
"E00004797",336,23,12,11,21,6,8,5,27,26,96,44,14,24,14,3,2,35.2589285714286,33,6.8452380952381,3.57142857142857,3.27380952380952,6.25,1.78571428571429,2.38095238095238,1.48809523809524,8.03571428571429,7.73809523809524,28.5714285714286,13.0952380952381,4.16666666666667,7.14285714285714,4.16666666666667,0.892857142857143,0.595238095238095
"E00004798",242,24,4,2,8,4,1,4,6,32,89,40,8,8,6,4,2,35.7851239669422,35,9.91735537190083,1.65289256198347,0.826446280991736,3.30578512396694,1.65289256198347,0.413223140495868,1.65289256198347,2.47933884297521,13.2231404958678,36.7768595041322,16.5289256198347,3.30578512396694,3.30578512396694,2.47933884297521,1.65289256198347,0.826446280991736
"E00004799",306,29,5,4,6,2,2,2,22,60,116,26,14,10,6,1,1,32.8333333333333,31,9.47712418300654,1.63398692810458,1.30718954248366,1.96078431372549,0.65359477124183,0.65359477124183,0.65359477124183,7.18954248366013,19.6078431372549,37.9084967320261,8.49673202614379,4.57516339869281,3.26797385620915,1.96078431372549,0.326797385620915,0.326797385620915
"E00004801",286,13,5,6,6,1,1,0,28,40,125,43,7,7,2,2,0,34.3636363636364,32,4.54545454545455,1.74825174825175,2.0979020979021,2.0979020979021,0.34965034965035,0.34965034965035,0,9.79020979020979,13.986013986014,43.7062937062937,15.034965034965,2.44755244755245,2.44755244755245,0.699300699300699,0.699300699300699,0
"E00004802",229,20,5,4,3,3,0,0,6,50,91,27,7,3,7,2,1,33.7292576419214,32,8.73362445414847,2.18340611353712,1.74672489082969,1.31004366812227,1.31004366812227,0,0,2.62008733624454,21.8340611353712,39.7379912663755,11.7903930131004,3.05676855895197,1.31004366812227,3.05676855895197,0.873362445414847,0.436681222707424
"E00004803",153,4,1,0,8,1,3,1,10,30,41,28,7,8,7,3,1,39.156862745098,34,2.61437908496732,0.65359477124183,0,5.22875816993464,0.65359477124183,1.96078431372549,0.65359477124183,6.5359477124183,19.6078431372549,26.797385620915,18.3006535947712,4.57516339869281,5.22875816993464,4.57516339869281,1.96078431372549,0.65359477124183
"E00004804",219,14,1,1,4,0,0,2,10,49,90,31,3,9,3,1,1,34.9954337899543,33,6.39269406392694,0.45662100456621,0.45662100456621,1.82648401826484,0,0,0.91324200913242,4.5662100456621,22.3744292237443,41.0958904109589,14.1552511415525,1.36986301369863,4.10958904109589,1.36986301369863,0.45662100456621,0.45662100456621
"E00004805",226,24,12,8,8,2,4,7,12,24,59,37,7,11,8,2,1,33.4203539823009,32,10.6194690265487,5.30973451327434,3.53982300884956,3.53982300884956,0.884955752212389,1.76991150442478,3.09734513274336,5.30973451327434,10.6194690265487,26.1061946902655,16.3716814159292,3.09734513274336,4.86725663716814,3.53982300884956,0.884955752212389,0.442477876106195
