"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E01000883",1326,451,31,0,49,5,3,36,1,69,23,16,59,1,39,5,0,17,13,11,2,0,0,0,21,2,0,0,1,1,0,0,3,12,0,0,1,2,0,0,2,14,0,0,4,1,0,19,8,26,2,1,28,5,20,92,0,20,3,0,12,0,3,0,0,0,0,0,25,7,6,113,0,9,0,0,1,0,1,0,2,7,2,1,1,7,0,1,4,0,4,0,0,0,1
"E01000884",1469,730,31,0,80,14,5,41,16,59,10,0,10,1,31,4,2,6,6,6,0,7,0,0,14,2,0,0,0,2,0,0,1,3,1,0,0,0,0,0,0,17,0,0,0,0,1,42,20,17,3,0,28,10,12,17,0,5,13,1,8,0,0,1,0,0,0,4,56,22,1,87,0,10,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,2,1,0,0,0,1
"E01000885",1484,783,45,0,49,8,7,57,5,39,5,1,27,12,15,6,0,23,5,0,0,1,1,0,10,0,0,0,0,1,0,0,0,4,0,3,0,0,0,6,0,18,1,0,2,0,0,25,17,4,0,0,41,6,18,43,0,6,0,0,8,2,0,0,3,0,0,1,46,4,7,89,0,3,0,0,0,0,3,2,0,1,1,0,14,4,0,0,1,0,1,0,0,0,0
"E01000886",1445,872,43,7,41,21,9,30,5,18,3,11,21,0,22,17,3,16,1,8,0,5,1,1,24,4,1,0,0,2,0,0,0,9,0,1,0,0,0,1,0,4,0,0,0,0,0,19,1,11,3,0,6,0,22,12,0,0,4,0,2,4,0,0,0,0,0,1,30,17,1,78,0,6,0,0,1,0,1,0,0,8,0,0,0,7,0,1,0,1,3,5,0,0,0
"E01000887",1486,789,58,1,31,21,14,27,4,33,3,36,42,1,16,25,2,14,4,0,2,0,1,0,33,5,0,0,0,2,0,0,0,4,0,0,0,0,1,3,3,3,1,0,7,0,0,42,5,16,6,0,24,6,15,17,0,1,4,1,17,0,2,0,2,0,0,4,22,6,2,69,2,17,2,0,0,0,0,0,0,1,0,0,1,10,0,1,3,0,0,2,0,0,0
"E01000888",1605,911,40,3,40,30,11,29,4,31,7,43,17,4,56,22,0,2,9,9,1,3,1,0,26,0,0,0,1,1,0,0,0,1,5,0,0,0,0,2,1,16,0,0,1,0,0,38,11,4,0,0,12,0,14,20,0,0,8,5,13,0,1,0,1,2,0,1,38,13,0,63,0,8,2,0,1,0,8,0,0,4,0,0,3,5,1,0,0,0,1,0,1,0,0
"E01000889",1670,769,76,0,24,44,35,21,11,10,10,167,15,0,123,45,12,25,2,7,0,3,0,0,4,2,0,0,1,8,0,0,0,1,1,0,0,1,0,0,9,2,0,0,4,0,0,27,20,2,9,0,26,5,8,1,0,1,18,13,9,0,0,0,1,0,0,3,9,15,0,31,0,9,0,0,0,0,12,0,0,1,0,0,1,13,2,0,0,2,0,0,0,0,0
"E01000890",1640,748,75,0,22,16,33,11,11,14,6,143,21,3,154,49,6,31,0,16,0,7,0,2,5,2,0,0,0,11,0,0,0,4,1,0,0,0,0,0,1,4,0,0,0,0,0,19,12,3,3,0,6,2,16,6,0,5,29,7,26,0,2,0,0,0,0,9,1,5,1,32,0,16,2,0,1,0,24,0,0,2,0,0,2,8,2,0,0,0,3,0,0,0,0
"E01000891",1575,667,60,2,18,21,17,24,3,12,7,193,11,0,142,62,6,20,9,6,8,2,1,0,13,0,1,0,0,14,0,1,0,1,5,0,0,0,1,0,2,5,0,0,1,0,0,26,21,5,1,0,6,0,13,3,7,0,21,1,22,0,2,0,0,2,0,2,2,6,1,33,1,12,0,0,0,0,35,0,0,4,0,0,1,9,0,3,0,0,1,0,0,0,0
"E01000892",1843,909,57,1,50,31,11,44,7,38,2,88,32,3,67,18,6,10,11,0,0,15,0,0,31,3,1,0,0,15,0,0,1,2,0,0,0,0,0,0,3,6,1,0,2,0,1,49,15,21,10,0,9,10,17,4,0,5,14,2,6,0,0,1,0,2,0,7,49,12,0,97,0,8,0,0,4,2,12,0,0,10,1,0,3,2,0,0,2,1,2,0,0,0,0
