"GeographyCode","KS205EW0001","KS205EW0002","KS205EW0003","KS205EW0004","KS205EW0005","KS205EW0006","KS205EW0007","KS205EW0008","KS205EW0009","KS205EW0010","KS205EW0011","KS205EW0012","KS205EW0013","KS205EW0014","KS205EW0015","KS205EW0016","KS205EW0017","KS205EW0018","KS205EW0019","KS205EW0020","KS205EW0021","KS205EW0022","KS205EW0023","KS205EW0024","KS205EW0025"
"E01000907",1430,140,1074,53,92,10,15,33,40,0,9,26,0,9.79020979020979,75.1048951048951,3.70629370629371,6.43356643356643,0.699300699300699,1.04895104895105,2.30769230769231,2.7972027972028,0,0.629370629370629,1.81818181818182,0
"E01000908",1581,137,1229,42,113,18,15,25,41,1,6,27,0,8.66540164452878,77.7356103731815,2.65654648956357,7.14737507906388,1.13851992409867,0.94876660341556,1.58127767235927,2.5932953826692,0.0632511068943706,0.379506641366224,1.70777988614801,0
"E01000909",1614,72,1301,49,125,9,15,22,74,1,18,29,0,4.46096654275093,80.6071871127633,3.0359355638166,7.74473358116481,0.557620817843866,0.929368029739777,1.36307311028501,4.58488228004957,0.0619578686493185,1.11524163568773,1.79677819083024,0
"E01000910",1472,47,1248,31,78,14,9,15,53,0,11,43,0,3.1929347826087,84.7826086956522,2.10597826086957,5.29891304347826,0.951086956521739,0.611413043478261,1.01902173913043,3.60054347826087,0,0.747282608695652,2.92119565217391,0
"E01000911",1559,85,1237,40,117,20,20,39,53,1,4,25,0,5.45221295702373,79.3457344451572,2.56574727389352,7.50481077613855,1.28287363694676,1.28287363694676,2.50160359204618,3.39961513790892,0.064143681847338,0.256574727389352,1.60359204618345,0
"E01000912",1589,106,1241,52,113,8,22,21,48,0,17,26,0,6.67086217747011,78.0994336060415,3.27249842668345,7.11139081183134,0.503461296412838,1.38451856513531,1.3215859030837,3.02076777847703,0,1.06985525487728,1.63624921334172,0
"E01000913",1710,33,1398,47,142,25,16,39,72,1,5,51,0,1.92982456140351,81.7543859649123,2.74853801169591,8.30409356725146,1.46198830409357,0.935672514619883,2.28070175438596,4.21052631578947,0.0584795321637427,0.292397660818713,2.98245614035088,0
"E01000914",1762,52,1121,40,232,49,26,192,72,0,15,58,2,2.95119182746879,63.6208853575482,2.27014755959137,13.16685584563,2.78093076049943,1.47559591373439,10.8967082860386,4.08626560726447,0,0.851305334846765,3.29171396140749,0.113507377979569
"E01000915",1527,73,1200,28,118,14,18,80,31,0,11,38,1,4.78061558611657,78.5854616895874,1.83366077275704,7.7275703994761,0.91683038637852,1.17878192534381,5.23903077930583,2.03012442698101,0,0.720366732154551,2.48853962017027,0.0654878847413229
"E01000916",1796,79,1161,51,265,44,34,114,70,7,14,47,0,4.39866369710468,64.6436525612472,2.83964365256125,14.7550111358575,2.44988864142539,1.89309576837416,6.34743875278396,3.89755011135857,0.389755011135857,0.779510022271715,2.61692650334076,0
"E01000917",1888,166,1352,35,183,22,33,79,32,0,19,13,0,8.79237288135593,71.6101694915254,1.85381355932203,9.69279661016949,1.16525423728814,1.7478813559322,4.18432203389831,1.69491525423729,0,1.00635593220339,0.688559322033898,0
"E01000918",2090,102,1348,39,350,42,42,146,61,1,11,79,0,4.88038277511962,64.4976076555024,1.86602870813397,16.7464114832536,2.00956937799043,2.00956937799043,6.98564593301435,2.91866028708134,0.0478468899521531,0.526315789473684,3.7799043062201,0
"E01000919",2014,89,1145,42,265,57,86,207,144,1,13,45,1,4.41906653426018,56.8520357497517,2.08540218470705,13.1578947368421,2.83018867924528,4.27010923535253,10.2780536246276,7.14995034756703,0.0496524329692155,0.645481628599801,2.2343594836147,0.0496524329692155
"E01000920",1946,90,1352,50,221,41,24,107,107,3,9,52,0,4.62487153134635,69.4758478931141,2.5693730729702,11.3566289825283,2.10688591983556,1.23329907502569,5.49845837615622,5.49845837615622,0.154162384378212,0.462487153134635,2.672147995889,0
"E01000921",1966,74,1465,73,215,30,12,71,77,2,15,58,0,3.76398779247202,74.5167853509664,3.71312309257375,10.9359104781282,1.52594099694812,0.610376398779247,3.61139369277721,3.91658189216684,0.101729399796541,0.762970498474059,2.95015259409969,0
