"GeographyCode","QS101EW0001","QS101EW0002","QS101EW0003","QS101EW0004"
"E00174668",278,278,0,0
"E00174669",514,358,156,0
"E00174670",284,280,4,0
"E00174671",176,164,12,0
"E00174672",245,245,0,0
"E00174673",111,111,0,0
"E00174674",152,152,0,0
"E00174675",257,257,0,0
"E00174676",203,200,3,0
"E00174677",373,348,25,0
"E00174678",238,238,0,0
"E00174679",618,64,554,0
"E00174680",241,241,0,0
