"GeographyCode","QS115EW0001","QS115EW0002","QS115EW0003","QS115EW0004","QS115EW0005","QS115EW0006","QS115EW0007","QS115EW0008","QS115EW0009","QS115EW0010","QS115EW0011","QS115EW0012"
"E00004268",142,70,11,59,72,6,1,14,23,2,12,14
"E00004269",121,51,21,30,70,8,4,9,35,0,4,10
"E00004270",189,62,12,50,127,8,4,14,56,4,10,31
"E00004271",142,44,10,34,98,7,5,14,37,3,3,29
"E00004272",113,27,10,17,86,1,19,14,24,1,8,19
"E00004273",159,53,16,37,106,2,14,9,38,2,7,34
"E00004274",130,43,8,35,87,5,5,15,34,2,3,23
"E00004275",104,44,13,31,60,5,4,7,31,1,0,12
"E00004276",122,44,15,29,78,7,8,18,21,1,1,22
"E00004277",135,63,15,48,72,6,4,12,37,0,2,11
"E00004278",102,37,8,29,65,9,4,8,24,2,2,16
"E00004279",134,50,7,43,84,9,10,11,35,1,8,10
"E00004280",108,44,4,40,64,2,17,7,25,1,6,6
"E00004281",115,33,6,27,82,5,10,13,39,0,4,11
"E00004282",149,64,14,50,85,13,4,12,35,1,6,14
"E00004283",137,65,8,57,72,4,8,11,32,0,6,11
"E00004284",128,62,13,49,66,7,7,8,24,2,3,15
"E00004285",144,69,10,59,75,0,7,11,38,0,2,17
"E00004286",158,70,23,47,88,7,6,7,45,1,3,19
"E00004287",111,32,7,25,79,9,8,9,27,1,3,22
"E00004288",166,80,8,72,86,6,6,8,44,2,6,14
"E00004289",129,64,7,57,65,0,3,8,41,1,1,11
"E00004290",164,77,11,66,87,5,4,13,48,2,2,13
"E00004291",138,50,16,34,88,7,12,13,18,3,9,26
"E00004292",121,40,14,26,81,18,6,9,8,11,14,15
"E00004293",119,46,13,33,73,9,5,6,22,4,7,20
"E00004294",119,61,19,42,58,2,2,10,28,1,0,15
"E00004295",175,68,15,53,107,1,11,11,42,4,7,31
"E00004296",133,42,12,30,91,12,6,12,15,5,22,19
"E00004297",154,67,4,63,87,4,8,14,36,1,0,24
