"GeographyCode","KS501EW0001","KS501EW0002","KS501EW0003","KS501EW0004","KS501EW0005","KS501EW0006","KS501EW0007","KS501EW0008","KS501EW0009","KS501EW0010","KS501EW0011","KS501EW0012","KS501EW0013","KS501EW0014","KS501EW0015","KS501EW0016","KS501EW0017","KS501EW0018","KS501EW0019","KS501EW0020","KS501EW0021","KS501EW0022","KS501EW0023","KS501EW0024","KS501EW0025"
"E00004223",260,48,25,25,2,27,104,29,5,20,5,2,13,18.4615384615385,9.61538461538462,9.61538461538462,0.769230769230769,10.3846153846154,40,11.1538461538462,1.92307692307692,7.69230769230769,1.92307692307692,0.769230769230769,5
"E00004224",241,7,11,11,2,23,173,14,5,15,6,0,9,2.9045643153527,4.5643153526971,4.5643153526971,0.829875518672199,9.54356846473029,71.7842323651452,5.80912863070539,2.0746887966805,6.22406639004149,2.4896265560166,0,3.7344398340249
"E00004225",443,52,20,38,7,61,205,60,0,73,23,2,48,11.7381489841986,4.51467268623025,8.57787810383747,1.58013544018059,13.7697516930023,46.27539503386,13.5440180586907,0,16.4785553047404,5.19187358916479,0.451467268623025,10.8352144469526
"E00004226",208,11,7,19,0,11,145,15,4,9,2,0,7,5.28846153846154,3.36538461538462,9.13461538461538,0,5.28846153846154,69.7115384615385,7.21153846153846,1.92307692307692,4.32692307692308,0.961538461538462,0,3.36538461538462
"E00004227",235,23,9,19,0,13,157,14,4,29,6,0,23,9.78723404255319,3.82978723404255,8.08510638297872,0,5.53191489361702,66.8085106382979,5.95744680851064,1.70212765957447,12.3404255319149,2.5531914893617,0,9.78723404255319
"E00004228",173,7,6,9,0,10,133,8,2,4,2,0,2,4.04624277456647,3.46820809248555,5.20231213872832,0,5.78034682080925,76.878612716763,4.6242774566474,1.15606936416185,2.3121387283237,1.15606936416185,0,1.15606936416185
"E00004229",287,13,10,10,2,30,195,27,1,15,1,0,14,4.52961672473868,3.48432055749129,3.48432055749129,0.696864111498258,10.4529616724739,67.9442508710801,9.40766550522648,0.348432055749129,5.22648083623693,0.348432055749129,0,4.8780487804878
"E00004230",248,34,14,26,3,40,117,14,8,40,6,0,34,13.7096774193548,5.64516129032258,10.4838709677419,1.20967741935484,16.1290322580645,47.1774193548387,5.64516129032258,3.2258064516129,16.1290322580645,2.41935483870968,0,13.7096774193548
"E00004231",259,8,8,14,0,16,188,25,3,13,7,0,6,3.08880308880309,3.08880308880309,5.40540540540541,0,6.17760617760618,72.5868725868726,9.65250965250965,1.15830115830116,5.01930501930502,2.7027027027027,0,2.31660231660232
"E00004232",178,34,9,13,2,5,102,13,1,18,6,0,12,19.1011235955056,5.0561797752809,7.30337078651685,1.12359550561798,2.80898876404494,57.3033707865169,7.30337078651685,0.561797752808989,10.1123595505618,3.37078651685393,0,6.74157303370786
"E00004233",207,22,13,23,1,12,125,11,2,5,1,1,3,10.6280193236715,6.28019323671498,11.1111111111111,0.483091787439614,5.79710144927536,60.3864734299517,5.31400966183575,0.966183574879227,2.41545893719807,0.483091787439614,0.483091787439614,1.44927536231884
"E00004234",211,7,9,11,1,12,166,5,1,17,4,0,13,3.3175355450237,4.2654028436019,5.21327014218009,0.4739336492891,5.68720379146919,78.6729857819905,2.3696682464455,0.4739336492891,8.05687203791469,1.8957345971564,0,6.16113744075829
"E00004235",276,22,19,28,4,30,140,33,5,32,5,3,24,7.97101449275362,6.88405797101449,10.1449275362319,1.44927536231884,10.8695652173913,50.7246376811594,11.9565217391304,1.81159420289855,11.5942028985507,1.81159420289855,1.08695652173913,8.69565217391304
"E00004236",302,36,15,20,3,47,147,34,4,60,12,0,48,11.9205298013245,4.96688741721854,6.62251655629139,0.993377483443709,15.5629139072848,48.6754966887417,11.2582781456954,1.32450331125828,19.8675496688742,3.97350993377483,0,15.8940397350993
"E00004237",226,30,25,15,3,26,98,29,2,40,11,2,27,13.2743362831858,11.0619469026549,6.63716814159292,1.32743362831858,11.5044247787611,43.3628318584071,12.8318584070796,0.884955752212389,17.6991150442478,4.86725663716814,0.884955752212389,11.9469026548673
"E00004238",247,15,15,23,2,16,153,23,4,17,2,0,15,6.07287449392713,6.07287449392713,9.31174089068826,0.809716599190283,6.47773279352227,61.9433198380567,9.31174089068826,1.61943319838057,6.88259109311741,0.809716599190283,0,6.07287449392713
"E00004239",182,39,15,20,3,11,85,9,3,12,6,0,6,21.4285714285714,8.24175824175824,10.989010989011,1.64835164835165,6.04395604395604,46.7032967032967,4.94505494505495,1.64835164835165,6.59340659340659,3.2967032967033,0,3.2967032967033
"E00004240",288,32,20,24,2,59,129,22,5,72,13,3,56,11.1111111111111,6.94444444444444,8.33333333333333,0.694444444444444,20.4861111111111,44.7916666666667,7.63888888888889,1.73611111111111,25,4.51388888888889,1.04166666666667,19.4444444444444
"E00004241",248,7,9,16,2,21,175,18,5,12,0,0,12,2.82258064516129,3.62903225806452,6.45161290322581,0.806451612903226,8.46774193548387,70.5645161290323,7.25806451612903,2.01612903225806,4.83870967741935,0,0,4.83870967741935
"E00004242",150,9,4,9,0,13,112,3,4,4,0,0,4,6,2.66666666666667,6,0,8.66666666666667,74.6666666666667,2,2.66666666666667,2.66666666666667,0,0,2.66666666666667
"E00004243",225,9,1,20,0,31,151,13,4,22,3,1,18,4,0.444444444444444,8.88888888888889,0,13.7777777777778,67.1111111111111,5.77777777777778,1.77777777777778,9.77777777777778,1.33333333333333,0.444444444444444,8
"E00004244",207,64,26,29,0,16,55,17,4,17,5,2,10,30.9178743961353,12.56038647343,14.0096618357488,0,7.72946859903382,26.5700483091787,8.21256038647343,1.93236714975845,8.21256038647343,2.41545893719807,0.966183574879227,4.83091787439614
"E00004245",276,49,26,35,2,31,119,14,8,21,6,1,14,17.7536231884058,9.42028985507246,12.6811594202899,0.72463768115942,11.231884057971,43.1159420289855,5.07246376811594,2.89855072463768,7.60869565217391,2.17391304347826,0.36231884057971,5.07246376811594
"E00004246",747,30,26,48,4,338,232,69,6,543,78,33,432,4.01606425702811,3.4805890227577,6.42570281124498,0.535475234270415,45.2476572958501,31.0575635876841,9.23694779116466,0.803212851405622,72.6907630522088,10.4417670682731,4.41767068273092,57.8313253012048
"E00004247",273,36,16,17,2,25,168,9,5,20,6,2,12,13.1868131868132,5.86080586080586,6.22710622710623,0.732600732600733,9.15750915750916,61.5384615384615,3.2967032967033,1.83150183150183,7.32600732600733,2.1978021978022,0.732600732600733,4.3956043956044
"E00004248",371,48,32,22,3,49,183,34,8,50,12,4,34,12.9380053908356,8.62533692722372,5.92991913746631,0.808625336927224,13.2075471698113,49.3261455525606,9.1644204851752,2.15633423180593,13.4770889487871,3.23450134770889,1.07816711590297,9.1644204851752
"E00004249",202,14,9,17,0,19,134,9,2,11,1,1,9,6.93069306930693,4.45544554455445,8.41584158415842,0,9.40594059405941,66.3366336633663,4.45544554455445,0.99009900990099,5.44554455445545,0.495049504950495,0.495049504950495,4.45544554455445
"E00004250",237,16,12,13,2,40,149,5,3,26,5,2,19,6.75105485232067,5.06329113924051,5.48523206751055,0.843881856540084,16.8776371308017,62.8691983122363,2.10970464135021,1.26582278481013,10.9704641350211,2.10970464135021,0.843881856540084,8.0168776371308
"E00004251",194,8,6,15,0,31,129,5,5,20,5,0,15,4.12371134020619,3.09278350515464,7.7319587628866,0,15.979381443299,66.4948453608247,2.57731958762887,2.57731958762887,10.3092783505155,2.57731958762887,0,7.7319587628866
"E00004252",209,21,10,24,4,19,118,13,4,17,2,2,13,10.0478468899522,4.78468899521531,11.4832535885167,1.91387559808612,9.09090909090909,56.4593301435407,6.2200956937799,1.91387559808612,8.13397129186603,0.956937799043062,0.956937799043062,6.2200956937799
"E00004253",248,44,23,24,4,39,89,25,10,45,11,2,32,17.741935483871,9.2741935483871,9.67741935483871,1.61290322580645,15.7258064516129,35.8870967741936,10.0806451612903,4.03225806451613,18.1451612903226,4.43548387096774,0.806451612903226,12.9032258064516
"E00004254",235,53,26,33,4,25,69,25,7,23,8,4,11,22.5531914893617,11.063829787234,14.0425531914894,1.70212765957447,10.6382978723404,29.3617021276596,10.6382978723404,2.97872340425532,9.78723404255319,3.40425531914894,1.70212765957447,4.68085106382979
"E00004255",232,32,17,17,3,35,109,19,4,34,11,3,20,13.7931034482759,7.32758620689655,7.32758620689655,1.29310344827586,15.0862068965517,46.9827586206897,8.18965517241379,1.72413793103448,14.6551724137931,4.74137931034483,1.29310344827586,8.62068965517241
"E00004256",292,77,22,24,1,22,123,23,3,55,16,3,36,26.3698630136986,7.53424657534247,8.21917808219178,0.342465753424658,7.53424657534247,42.1232876712329,7.87671232876712,1.02739726027397,18.8356164383562,5.47945205479452,1.02739726027397,12.3287671232877
"E00004257",219,28,13,18,2,14,125,19,0,14,6,0,7,12.7853881278539,5.93607305936073,8.21917808219178,0.91324200913242,6.39269406392694,57.0776255707763,8.67579908675799,0,6.39269406392694,2.73972602739726,0,3.19634703196347
