UID,Price,Date,Street,District,Region,Postcode,oseast1m,osnrth1m
594537,995000,01/20/2015 0:00,FINCHLEY ROAD,CAMDEN,GREATER LONDON,NW36DJ,525832,185312
594552,995000,12/14/2015 0:00,FINCHLEY ROAD,CAMDEN,GREATER LONDON,NW36HT,526612,184282
595830,995000,04/29/2015 0:00,GOLDHURST TERRACE,CAMDEN,GREATER LONDON,NW63HT,526233,184320
595153,992000,06/05/2015 0:00,CHETWYND ROAD,CAMDEN,GREATER LONDON,NW51BY,528727,185930
512493,990000,07/10/2015 0:00,YORK WAY,CAMDEN,GREATER LONDON,N1C4AT,530301,183608
594509,985000,03/06/2015 0:00,MULBERRY CLOSE,CAMDEN,GREATER LONDON,NW35UP,526698,185578
595362,985000,10/29/2015 0:00,RYLAND ROAD,CAMDEN,GREATER LONDON,NW53EH,528636,184806
595366,985000,11/12/2015 0:00,RYLAND ROAD,CAMDEN,GREATER LONDON,NW53EH,528636,184806
595867,985000,07/03/2015 0:00,ABERDARE GARDENS,CAMDEN,GREATER LONDON,NW63QA,526011,184141
927556,985000,09/09/2015 0:00,TAVISTOCK SQUARE,CAMDEN,GREATER LONDON,WC1H9HG,529822,182403
927644,985000,11/27/2015 0:00,MILLMAN STREET,CAMDEN,GREATER LONDON,WC1N3EP,530679,182116
927668,985000,10/15/2015 0:00,WARWICK COURT,CAMDEN,GREATER LONDON,WC1R5DJ,530946,181676
927451,980007,10/10/2015 0:00,BEDFORD AVENUE,CAMDEN,GREATER LONDON,WC1B3AD,529922,181546
593932,980000,05/06/2015 0:00,VALE OF HEALTH,CAMDEN,GREATER LONDON,NW31AS,526562,186490
594117,980000,01/07/2015 0:00,PARLIAMENT HILL,CAMDEN,GREATER LONDON,NW32TJ,527545,185998
594628,980000,12/17/2015 0:00,FROGNAL LANE,CAMDEN,GREATER LONDON,NW37EA,525740,185400
595518,980000,07/29/2015 0:00,ROSE JOAN MEWS,CAMDEN,GREATER LONDON,NW61DQ,525157,185532
595687,980000,10/28/2015 0:00,SHERRIFF ROAD,CAMDEN,GREATER LONDON,NW62AU,525314,184527
594125,975000,10/29/2015 0:00,NASSINGTON ROAD,CAMDEN,GREATER LONDON,NW32UD,527566,185804
594450,975000,12/18/2015 0:00,FITZJOHNS AVENUE,CAMDEN,GREATER LONDON,NW35JY,526554,184775
594631,975000,06/12/2015 0:00,FROGNAL LANE,CAMDEN,GREATER LONDON,NW37EA,525740,185400
