"GeographyCode","QS407EW0001","QS407EW0002","QS407EW0003","QS407EW0004","QS407EW0005","QS407EW0006","QS407EW0007","QS407EW0008","QS407EW0009","QS407EW0010"
"E00004507",104,0,2,13,8,12,33,23,8,5
"E00004508",150,2,12,30,18,42,27,6,8,5
"E00004509",122,0,3,20,20,12,28,9,17,13
"E00004510",128,2,4,26,33,28,7,6,6,16
"E00004511",144,1,10,38,21,9,17,12,16,20
"E00004512",120,0,13,24,57,8,2,4,3,9
"E00004513",102,0,10,12,18,10,10,7,10,25
"E00004514",116,2,8,19,17,22,5,8,14,21
"E00004515",121,3,19,26,30,14,11,6,3,9
"E00004516",133,0,2,20,12,20,23,20,21,15
"E00004517",109,0,13,15,9,43,21,6,2,0
"E00004518",116,3,12,42,18,32,5,1,2,1
"E00004519",112,0,4,25,11,26,32,11,1,2
"E00004520",140,10,27,68,13,15,6,1,0,0
"E00004521",127,5,8,28,40,18,20,3,3,2
"E00004522",117,12,21,39,22,17,2,1,1,2
"E00004523",244,7,63,72,53,25,14,6,2,2
"E00004524",216,6,36,67,55,37,7,1,2,5
"E00004525",119,2,18,40,29,22,3,2,2,1
"E00004526",125,2,12,51,25,23,10,0,0,2
"E00004527",102,9,23,52,7,2,4,1,2,2
"E00004528",170,10,37,75,36,7,3,0,1,1
"E00004529",207,7,52,52,48,33,3,8,3,1
"E00004530",141,5,49,37,24,21,2,1,0,2
"E00004531",119,1,20,32,53,7,2,1,1,2
"E00004532",168,24,23,38,44,17,1,0,6,15
"E00004534",114,1,4,66,28,11,1,0,1,2
"E00004535",124,4,34,41,34,6,3,1,0,1
"E00004536",138,22,33,44,29,7,1,1,0,1
"E00004537",85,3,5,30,17,21,5,0,2,2
"E00004538",103,1,11,41,23,19,3,4,0,1
"E00004539",79,0,20,34,13,8,1,1,1,1
"E00004540",156,1,19,44,54,25,9,0,1,3
"E00004541",113,4,36,41,22,5,4,1,0,0
"E00004542",178,2,44,50,63,15,3,0,0,1
"E00004543",126,1,32,37,33,13,8,1,1,0
"E00004544",98,0,5,15,42,24,4,4,2,2
"E00004545",199,3,32,61,79,16,4,1,0,3
"E00004546",143,6,16,64,52,3,0,0,0,2
"E00004547",164,14,32,26,57,28,4,0,0,3
"E00004548",138,5,30,49,30,12,5,1,1,5
"E00004549",124,4,12,39,43,23,0,0,0,3
"E00004550",146,5,24,24,50,37,1,0,2,3
"E00004551",208,2,37,88,44,24,11,2,0,0
"E00004552",126,6,13,20,43,37,0,5,1,1
"E00004553",113,8,18,30,31,22,4,0,0,0
"E00004554",217,11,37,53,68,32,9,4,2,1
"E00004555",127,0,11,34,58,18,5,0,0,1
"E00004556",143,6,25,50,32,10,18,1,0,1
"E00004557",121,13,25,61,17,2,1,1,0,1
"E00004558",142,3,19,39,49,24,3,1,2,2
"E00004559",153,2,22,36,39,31,17,2,2,2
"E00004560",121,0,20,61,20,10,5,2,2,1
"E00004561",128,28,18,37,28,7,4,4,1,1
"E00004562",123,3,12,30,40,16,15,3,1,3
"E00004563",195,14,35,28,42,25,16,11,19,5
"E00004564",118,5,20,13,37,20,21,1,0,1
"E00004565",145,17,46,22,24,32,3,1,0,0
"E00004566",140,1,13,54,44,15,3,4,3,3
"E00004567",128,0,2,10,41,60,13,1,1,0
"E00004568",157,3,31,33,47,25,10,5,2,1
"E00004569",161,10,17,31,41,34,16,11,0,1
"E00004570",131,0,7,17,37,32,25,10,2,1
"E00004571",151,2,14,41,34,20,18,13,7,2
"E00004572",160,2,14,51,64,24,5,0,0,0
"E00004573",149,0,9,32,40,39,23,4,2,0
"E00004574",143,0,15,25,27,30,30,10,3,3
"E00004575",184,15,62,53,21,19,3,7,2,2
"E00004576",140,1,8,39,46,18,9,8,5,6
"E00004577",124,3,8,21,41,27,16,6,2,0
"E00004578",154,13,41,49,30,8,7,3,1,2
"E00004579",105,2,7,32,16,18,4,10,8,8
"E00004580",151,8,25,44,46,23,2,0,2,1
"E00004581",101,0,17,10,32,27,6,4,4,1
"E00004582",127,9,24,20,26,14,9,5,9,11
"E00004583",142,1,18,23,42,14,12,5,18,9
"E00004584",171,13,38,36,47,16,6,2,5,8
"E00004585",134,4,19,41,46,17,4,0,1,2
"E00004586",116,1,13,32,31,9,10,8,7,5
"E00004587",121,7,16,30,37,11,6,5,3,6
"E00004588",154,5,32,47,31,15,5,7,6,6
"E00004589",125,4,11,27,30,9,21,15,4,4
"E00004590",99,2,17,25,18,17,9,7,1,3
"E00004591",112,13,19,10,35,17,4,4,3,7
"E00004592",99,3,13,31,18,8,9,11,5,1
"E00004593",229,14,47,41,78,34,7,1,4,3
"E00004594",124,5,13,51,36,9,8,0,1,1
"E00004595",104,1,4,24,24,19,16,7,7,2
"E00004596",108,1,6,8,46,22,16,7,1,1
"E00004597",214,9,38,42,26,52,44,3,0,0
"E00004598",106,10,9,28,19,20,9,6,1,4
"E00004599",161,22,19,49,29,13,12,8,4,5
"E00004600",124,2,11,18,53,29,8,3,0,0
"E00004601",117,2,8,19,23,45,10,5,1,4
"E00004602",115,3,16,33,21,20,10,5,5,2
"E00004603",131,2,12,18,33,56,4,3,2,1
"E00004604",136,15,30,53,12,9,13,1,3,0
"E00004605",113,3,11,22,42,22,12,1,0,0
"E00004606",169,4,20,51,33,28,23,2,4,4
"E00004607",132,20,32,47,30,0,0,1,0,2
"E00004608",133,2,5,37,35,32,10,4,4,4
"E00004609",221,60,38,38,49,28,6,1,0,1
"E00004610",123,11,15,20,48,21,7,0,1,0
"E00004611",157,35,73,38,4,3,1,0,1,2
"E00004612",142,24,49,31,29,3,3,2,1,0
"E00004613",125,20,22,25,36,20,1,1,0,0
"E00004614",224,12,45,77,48,24,6,6,4,2
"E00004615",102,1,2,36,25,19,11,4,2,2
"E00004616",133,5,8,45,38,18,9,7,1,2
"E00004617",114,12,10,28,48,11,4,0,1,0
"E00004618",125,1,13,50,26,25,1,6,1,2
"E00004619",123,5,7,64,20,17,4,1,2,3
"E00004620",141,12,29,50,38,7,2,1,2,0
"E00004621",133,4,11,52,19,26,13,1,6,1
"E00004622",209,11,19,68,51,32,12,13,3,0
"E00004623",151,10,10,31,51,34,5,3,2,5
"E00004624",120,2,5,18,40,24,18,5,3,5
"E00004625",172,7,37,58,38,18,4,1,2,7
"E00004626",235,86,29,56,48,5,1,3,4,3
"E00004627",98,8,28,29,18,13,2,0,0,0
"E00004628",91,2,7,24,56,2,0,0,0,0
"E00004629",117,18,13,25,33,17,4,4,2,1
"E00004630",104,20,19,16,27,11,3,1,4,3
"E00004631",130,2,9,54,15,32,15,3,0,0
"E00004632",95,4,15,29,40,5,1,0,0,1
"E00004633",102,10,14,29,11,11,16,9,2,0
"E00004634",145,4,19,48,44,14,2,7,4,3
"E00004635",125,4,8,58,26,28,0,0,1,0
"E00004636",113,3,4,46,22,32,5,1,0,0
"E00004637",121,13,11,43,25,22,7,0,0,0
"E00004638",158,20,23,40,52,17,4,2,0,0
"E00004639",96,3,13,28,38,10,3,1,0,0
"E00004640",146,10,10,37,48,36,3,1,1,0
"E00004641",125,2,7,16,47,31,17,3,1,1
"E00004642",130,5,11,33,53,25,2,1,0,0
"E00004643",186,26,21,57,44,13,10,2,6,7
"E00004644",132,1,2,19,22,50,34,2,1,1
"E00004645",111,10,18,59,21,2,1,0,0,0
"E00004646",110,4,12,34,42,14,2,2,0,0
"E00004647",168,35,40,27,38,19,2,3,1,3
"E00004649",129,19,24,43,33,6,1,1,0,2
"E00004650",208,84,26,33,36,27,0,1,0,1
"E00004651",106,2,66,32,6,0,0,0,0,0
"E00004652",133,6,41,46,27,8,3,0,1,1
"E00004653",113,8,39,42,16,3,5,0,0,0
