"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E00004271",10,2,3,5,1,0,0,1,9,2,3,4,20,30,50,10,0,0,10,90,20,30,40
"E00004272",4,0,2,2,1,0,1,0,3,0,1,2,0,50,50,25,0,25,0,75,0,25,50
"E00004273",2,0,2,0,0,0,0,0,2,0,2,0,0,100,0,0,0,0,0,100,0,100,0
"E00004274",7,2,1,4,0,0,0,0,7,2,1,4,28.5714285714286,14.2857142857143,57.1428571428571,0,0,0,0,100,28.5714285714286,14.2857142857143,57.1428571428571
"E00004275",8,3,3,2,2,1,0,1,6,2,3,1,37.5,37.5,25,25,12.5,0,12.5,75,25,37.5,12.5
"E00004276",11,3,4,4,0,0,0,0,11,3,4,4,27.2727272727273,36.3636363636364,36.3636363636364,0,0,0,0,100,27.2727272727273,36.3636363636364,36.3636363636364
"E00004277",11,5,1,5,0,0,0,0,11,5,1,5,45.4545454545455,9.09090909090909,45.4545454545455,0,0,0,0,100,45.4545454545455,9.09090909090909,45.4545454545455
"E00004278",9,4,2,3,0,0,0,0,9,4,2,3,44.4444444444444,22.2222222222222,33.3333333333333,0,0,0,0,100,44.4444444444444,22.2222222222222,33.3333333333333
"E00004279",11,4,5,2,1,0,0,1,10,4,5,1,36.3636363636364,45.4545454545455,18.1818181818182,9.09090909090909,0,0,9.09090909090909,90.9090909090909,36.3636363636364,45.4545454545455,9.09090909090909
"E00004280",2,0,1,1,0,0,0,0,2,0,1,1,0,50,50,0,0,0,0,100,0,50,50
"E00004281",8,3,3,2,0,0,0,0,8,3,3,2,37.5,37.5,25,0,0,0,0,100,37.5,37.5,25
"E00004282",19,4,5,10,1,0,0,1,18,4,5,9,21.0526315789474,26.3157894736842,52.6315789473684,5.26315789473684,0,0,5.26315789473684,94.7368421052632,21.0526315789474,26.3157894736842,47.3684210526316
"E00004283",7,1,3,3,0,0,0,0,7,1,3,3,14.2857142857143,42.8571428571429,42.8571428571429,0,0,0,0,100,14.2857142857143,42.8571428571429,42.8571428571429
"E00004284",12,3,3,6,2,1,0,1,10,2,3,5,25,25,50,16.6666666666667,8.33333333333333,0,8.33333333333333,83.3333333333333,16.6666666666667,25,41.6666666666667
"E00004285",2,1,1,0,0,0,0,0,2,1,1,0,50,50,0,0,0,0,0,100,50,50,0
"E00004286",12,1,5,6,0,0,0,0,12,1,5,6,8.33333333333333,41.6666666666667,50,0,0,0,0,100,8.33333333333333,41.6666666666667,50
"E00004287",13,10,0,3,1,1,0,0,12,9,0,3,76.9230769230769,0,23.0769230769231,7.69230769230769,7.69230769230769,0,0,92.3076923076923,69.2307692307692,0,23.0769230769231
"E00004288",9,2,1,6,0,0,0,0,9,2,1,6,22.2222222222222,11.1111111111111,66.6666666666667,0,0,0,0,100,22.2222222222222,11.1111111111111,66.6666666666667
"E00004289",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004290",9,2,5,2,1,0,1,0,8,2,4,2,22.2222222222222,55.5555555555556,22.2222222222222,11.1111111111111,0,11.1111111111111,0,88.8888888888889,22.2222222222222,44.4444444444444,22.2222222222222
"E00004291",11,2,1,8,0,0,0,0,11,2,1,8,18.1818181818182,9.09090909090909,72.7272727272727,0,0,0,0,100,18.1818181818182,9.09090909090909,72.7272727272727
"E00004292",24,5,3,16,2,0,2,0,22,5,1,16,20.8333333333333,12.5,66.6666666666667,8.33333333333333,0,8.33333333333333,0,91.6666666666667,20.8333333333333,4.16666666666667,66.6666666666667
"E00004293",12,0,2,10,1,0,1,0,11,0,1,10,0,16.6666666666667,83.3333333333333,8.33333333333333,0,8.33333333333333,0,91.6666666666667,0,8.33333333333333,83.3333333333333
"E00004294",4,0,2,2,1,0,0,1,3,0,2,1,0,50,50,25,0,0,25,75,0,50,25
"E00004295",4,2,0,2,0,0,0,0,4,2,0,2,50,0,50,0,0,0,0,100,50,0,50
"E00004296",13,0,3,10,3,0,2,1,10,0,1,9,0,23.0769230769231,76.9230769230769,23.0769230769231,0,15.3846153846154,7.69230769230769,76.9230769230769,0,7.69230769230769,69.2307692307692
"E00004297",6,4,1,1,0,0,0,0,6,4,1,1,66.6666666666667,16.6666666666667,16.6666666666667,0,0,0,0,100,66.6666666666667,16.6666666666667,16.6666666666667
"E00004298",3,1,1,1,0,0,0,0,3,1,1,1,33.3333333333333,33.3333333333333,33.3333333333333,0,0,0,0,100,33.3333333333333,33.3333333333333,33.3333333333333
"E00004299",5,0,3,2,0,0,0,0,5,0,3,2,0,60,40,0,0,0,0,100,0,60,40
"E00004300",6,0,1,5,0,0,0,0,6,0,1,5,0,16.6666666666667,83.3333333333333,0,0,0,0,100,0,16.6666666666667,83.3333333333333
"E00004301",15,5,4,6,1,1,0,0,14,4,4,6,33.3333333333333,26.6666666666667,40,6.66666666666667,6.66666666666667,0,0,93.3333333333333,26.6666666666667,26.6666666666667,40
"E00004302",8,0,1,7,0,0,0,0,8,0,1,7,0,12.5,87.5,0,0,0,0,100,0,12.5,87.5
"E00004303",2,0,2,0,0,0,0,0,2,0,2,0,0,100,0,0,0,0,0,100,0,100,0
"E00004304",13,0,9,4,1,0,0,1,12,0,9,3,0,69.2307692307692,30.7692307692308,7.69230769230769,0,0,7.69230769230769,92.3076923076923,0,69.2307692307692,23.0769230769231
"E00004305",3,0,2,1,0,0,0,0,3,0,2,1,0,66.6666666666667,33.3333333333333,0,0,0,0,100,0,66.6666666666667,33.3333333333333
"E00004306",6,2,3,1,0,0,0,0,6,2,3,1,33.3333333333333,50,16.6666666666667,0,0,0,0,100,33.3333333333333,50,16.6666666666667
"E00004307",6,3,1,2,0,0,0,0,6,3,1,2,50,16.6666666666667,33.3333333333333,0,0,0,0,100,50,16.6666666666667,33.3333333333333
"E00004308",7,3,1,3,0,0,0,0,7,3,1,3,42.8571428571429,14.2857142857143,42.8571428571429,0,0,0,0,100,42.8571428571429,14.2857142857143,42.8571428571429
"E00004309",2,0,2,0,0,0,0,0,2,0,2,0,0,100,0,0,0,0,0,100,0,100,0
"E00004310",5,1,3,1,0,0,0,0,5,1,3,1,20,60,20,0,0,0,0,100,20,60,20
"E00004311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004312",15,2,10,3,0,0,0,0,15,2,10,3,13.3333333333333,66.6666666666667,20,0,0,0,0,100,13.3333333333333,66.6666666666667,20
"E00004313",4,2,1,1,1,0,1,0,3,2,0,1,50,25,25,25,0,25,0,75,50,0,25
"E00004314",6,1,3,2,0,0,0,0,6,1,3,2,16.6666666666667,50,33.3333333333333,0,0,0,0,100,16.6666666666667,50,33.3333333333333
