Beds,Bathrooms,LivingArea,PlotArea,AskPrice,Description,BuiltYear,Tenure,Property,FloorLevel,Latitude,Longitude,PropertyType,Floor,LeaseYearsLeft,Freehold,DistanceMRT,DistanceCBD,PlanningArea,Region,PriceSqft,Overlooking,Facing
3,2,1076,,935000,HDB Flat for Sale in 8B Boon Tiong Road,2005,99,HDB 4 Rooms ,High,1.287017,103.83031,HDB,High,82,0,.32074973,2.637861148659279,BUKIT MERAH,CENTRAL REGION,868.95911,Not mentioned,.
1,1,506,,1150000,1 Bed Condo for Sale in Highline Residences,2018,99,Condo,,1.2843674,103.82977,Condo,,95,0,.33565068,2.61778145867564,BUKIT MERAH,CENTRAL REGION,2272.7273,Not mentioned,.
4,4,1346,,3699000,4 Bed Condo for Sale in Sky Everton,2023,999,Condo,Top,1.2758898,103.83815,Condo,Top,1000,1,.35224652,1.673884954287215,BUKIT MERAH,CENTRAL REGION,2748.1426,Sea view,.
2,2,700,,358000,HDB Flat for Sale in 128 Bukit Merah View,1973,99,HDB 3 Rooms ,,1.2826468,103.82333,HDB,,50,0,.53345042,3.296837842186386,BUKIT MERAH,CENTRAL REGION,511.42856,Not mentioned,.
2,1,700,,390000,HDB Flat for Sale in 119 Bukit Merah View,1983,99,HDB ,,1.2835275,103.82083,HDB,,60,0,.7283048,3.584018096129809,BUKIT MERAH,CENTRAL REGION,557.14288,Not mentioned,.
3,2,1237,,888000,HDB Flat for Sale in 75C Redhill Road,2007,,HDB ,,1.2890232,103.81628,HDB,,,,.088581711,4.198511144481964,BUKIT MERAH,CENTRAL REGION,717.86578,Not mentioned,.
3,2,969,,788000,HDB Flat for Sale in 25B Jalan Membina,2009,99,HDB 3 Rooms ,,1.2836214,103.82539,HDB,,86,0,.29560453,3.082573892714036,BUKIT MERAH,CENTRAL REGION,813.20947,Not mentioned,.
3,3,1076,,2600000,3 Bed Condo for Sale in The Reef At King&#x27;s Dock,2025,99,Condo,,1.2651302,103.81738,Condo,,102,0,.34813941,4.244088481749881,BUKIT MERAH,CENTRAL REGION,2416.3569,Not mentioned,.
3,2,915,,2546000,3 Bed Condo for Sale in Sky Everton,2023,999,Condo,,1.2758898,103.83815,Condo,,1000,1,.35224652,1.673884954287215,BUKIT MERAH,CENTRAL REGION,2782.5137,Not mentioned,North
2,2,732,,1900000,2 Bed Condo for Sale in Echelon,2016,99,Condo,High (46 total),1.29079,103.81806,Condo,High,93,0,.16997699,4.062738209151309,BUKIT MERAH,CENTRAL REGION,2595.6284,Sea view,.
2,2,731,,650000,HDB Flat for Sale in 70A Telok Blangah Heights,2017,99,HDB 2 Rooms ,High,1.2763753,103.81137,HDB,High,94,0,.64675373,4.620304290349702,BUKIT MERAH,CENTRAL REGION,889.19287,Not mentioned,South
3,2,990,,788000,HDB Flat for Sale in 118A Jalan Membina,2003,99,HDB 4 Rooms ,High,1.2814202,103.82565,HDB,High,80,0,.50254178,3.027444958408185,BUKIT MERAH,CENTRAL REGION,795.95959,Not mentioned,.
2,2,1281,,2150000,2 Bed Condo for Sale in Reflections At Keppel Bay,2011,99,Condo,,1.266854,103.81164,Condo,,88,0,.47009417,4.784539518609329,BUKIT MERAH,CENTRAL REGION,1678.3762,Not mentioned,.
3,2,1249,,2520000,3 Bed Condo for Sale in The Crest,2018,99,Condo,High (23 total),1.2929929,103.81985,Condo,High,95,0,.48344699,3.960039292248532,BUKIT MERAH,CENTRAL REGION,2017.6141,Greenery view,South West
2,2,743,,2000000,2 Bed Condo for Sale in Spottiswoode Suites,2017,999,Condo,,1.2760351,103.8375,Condo,,994,1,.35293233,1.740621023022513,BUKIT MERAH,CENTRAL REGION,2691.79,Not mentioned,.
3,3,1475,,2250000,3 Bed Condo for Sale in Ascentia Sky,2013,99,Condo,Mid (45 total),1.2909062,103.81706,Condo,Mid,90,0,.15847306,4.172545607441113,BUKIT MERAH,CENTRAL REGION,1525.4237,City view,.
2,2,1335,,1380000,2 Bed Condo for Sale in Spottiswoode Park,1979,99,Condo,High (25 total),1.274188,103.83544,Condo,High,56,0,.6387527,2.01404386594245,BUKIT MERAH,CENTRAL REGION,1033.7079,Greenery view,.
1,1,603,,1400000,1 Bed Condo for Sale in Spottiswoode Residences,2014,999,Condo,High (36 total),1.2752705,103.83683,Condo,High,991,1,.45928505,1.832984209124369,BUKIT MERAH,CENTRAL REGION,2321.7246,Not mentioned,.
3,2,969,,589000,HDB Flat for Sale in 103A Depot Road,2002,99,HDB ,,1.280702,103.81335,HDB,,79,0,1.0405902,4.389532994608976,BUKIT MERAH,CENTRAL REGION,607.84314,Not mentioned,.
1,1,527,,1254000,1 Bed Condo for Sale in Avenue South Residence,2023,99,Condo,,1.2764318,103.82967,Condo,,100,0,1.0282778,2.592204809714282,BUKIT MERAH,CENTRAL REGION,2379.5066,Not mentioned,.
1,1,527,,1250000,1 Bed Condo for Sale in Avenue South Residence,2023,99,Condo,,1.2764318,103.82967,Condo,,100,0,1.0282778,2.592204809714282,BUKIT MERAH,CENTRAL REGION,2371.9165,City view,South
3,2,1000,,920000,HDB Flat for Sale in 70A Telok Blangah Heights,2017,99,HDB 3 Rooms ,,1.2763753,103.81137,HDB,,94,0,.64675373,4.620304290349702,BUKIT MERAH,CENTRAL REGION,920,Not mentioned,.
4,4,1496,,2690000,4 Bed Condo for Sale in Avenue South Residence,2023,99,Condo,,1.2764318,103.82967,Condo,,100,0,1.0282778,2.592204809714282,BUKIT MERAH,CENTRAL REGION,1798.1283,Not mentioned,.
1,1,1281,,2000000,1 Bed Condo for Sale in Spottiswoode Residences,2014,999,Condo,Top (36 total),1.2752705,103.83683,Condo,Top,991,1,.45928505,1.832984209124369,BUKIT MERAH,CENTRAL REGION,1561.2803,Sea view,South East
1,1,506,,1300000,1 Bed Condo for Sale in Highline Residences,2018,99,Condo,Mid (35 total),1.2843674,103.82977,Condo,Mid,95,0,.33565068,2.61778145867564,BUKIT MERAH,CENTRAL REGION,2569.1699,Greenery view,.
2,2,980,,2080000,2 Bed Condo for Sale in Twin Regency,2007,999,Condo,High (36 total),1.2848837,103.82867,Condo,High,984,1,.20931877,2.749446334917962,BUKIT MERAH,CENTRAL REGION,2122.449,Pool view,.
2,2,969,,1750000,2 Bed Condo for Sale in Reflections At Keppel Bay,2011,99,Condo,,1.266854,103.81164,Condo,,88,0,.47009417,4.784539518609329,BUKIT MERAH,CENTRAL REGION,1805.9856,Not mentioned,.
3,3,1700,,3680000,3 Bed Condo for Sale in Reflections At Keppel Bay,2011,99,Condo,High (41 total),1.266854,103.81164,Condo,High,88,0,.47009417,4.784539518609329,BUKIT MERAH,CENTRAL REGION,2164.7058,Sea view,South
2,2,892,,525000,HDB Flat for Sale in 7 Everton Park,1980,99,HDB 3 Rooms ,High,1.2769244,103.83868,HDB,High,57,0,.23572467,1.592382012530527,BUKIT MERAH,CENTRAL REGION,588.565,Not mentioned,.
3,2,969,,820000,HDB Flat for Sale in 12 Cantonment Close,2003,99,HDB 4 Rooms ,,1.2744762,103.84007,HDB,,80,0,.49782023,1.515786284959195,BUKIT MERAH,CENTRAL REGION,846.23322,Not mentioned,.
3,1,882,,420000,HDB Flat for Sale in 27 Telok Blangah Way,1976,99,HDB ,,1.2744687,103.82147,HDB,,53,0,.93874902,3.526594071733514,BUKIT MERAH,CENTRAL REGION,476.19049,Not mentioned,.
